Skill
AWS
Accessibility
Agile
Algorithms
Azure
CI/CD
Communication
Data Analysis
Data Visualization
Deep Learning
Docker
Documentation
Editing
Excel
Figma
GCP
Git
Incident Response
Infrastructure Design
Java
Kubernetes
Machine Learning
Markdown
Market Research
Mathematics
Monitoring
Network Security
Prototyping
Python
REST APIs
Requirements Gathering
Research
Research Methodology
Risk Assessment
Roadmapping
SIEM
SQL
Security
Statistics
TensorFlow
UX
User Research
Wireframing
